Score,Level,Data,Username,HostName,HostID
10,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,user,Staniszworld,192.168.56.1
28,2,2019-11-03,user,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,user3,Staniszworld,192.168.56.1
44,5,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
20,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
40,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
50,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
20,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,user2,Staniszworld,192.168.56.1
0,0,2019-11-03,user2,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,user2,Staniszworld,192.168.56.1
10,0,2019-11-03,user2,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
94,16,2019-11-03,user3,Staniszworld,192.168.56.1
94,16,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
10,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
74,22,2019-11-03,user3,Staniszworld,192.168.56.1
74,22,2019-11-03,user3,Staniszworld,192.168.56.1
132,22,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
30,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
20,0,2019-11-03,Guest,Staniszworld,192.168.56.1
20,0,2019-11-03,Guest,Staniszworld,192.168.56.1
54,12,2019-11-03,Guest,Staniszworld,192.168.56.1
54,12,2019-11-03,Guest,Staniszworld,192.168.56.1
106,32,2019-11-03,Guest,Staniszworld,192.168.56.1
106,32,2019-11-03,Guest,Staniszworld,192.168.56.1
560,62,2019-11-03,Guest,Staniszworld,192.168.56.1
560,62,2019-11-03,user3,Staniszworld,192.168.56.1
560,62,2019-11-03,user3,Staniszworld,192.168.56.1
10,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,Guest,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
0,0,2019-11-03,user3,Staniszworld,192.168.56.1
